file,name,code_range,frequency,weighted
Household,CDIVMSAR,11=New England MSA/CMSA of 1 million+ with heavy rail,161,2066163.07583705
Household,CDIVMSAR,12=New England MSA/CMSA of 1 million+ w/o heavy rail,51,703523.166831864
Household,CDIVMSAR,13=New England MSA of less than 1 million,208,3135078.07195753
Household,CDIVMSAR,14=New England Not in an MSA,19,221998.32662453
Household,CDIVMSAR,21=Mid-Atlantic MSA/CMSA of 1 million+ with heavy rail,468,8330759.23953903
Household,CDIVMSAR,22=Mid-Atlantic MSA/CMSA of 1 million+ w/o heavy rail,136,2261377.10456885
Household,CDIVMSAR,23=Mid-Atlantic MSA of less than 1 million,302,5374346.66955614
Household,CDIVMSAR,24=Mid-Atlantic Not in an MSA,18,372341.700626488
Household,CDIVMSAR,31=East North Central MSA/CMSA of 1 million+ with heavy rail,266,4095724.10222997
Household,CDIVMSAR,32=East North Central MSA/CMSA of 1 million+ w/o heavy rail,374,5208902.98339577
Household,CDIVMSAR,33=East North Central MSA of less than 1 million,562,8364934.63087832
Household,CDIVMSAR,34=East North Central Not in an MSA,91,1360874.79042852
Household,CDIVMSAR,42=West North Central MSA/CMSA of 1 million+ w/o heavy rail,211,3631401.83764825
Household,CDIVMSAR,43=West North Central MSA of less than 1 million,275,4141517.3954031
Household,CDIVMSAR,44=West North Central Not in an MSA,82,887706.474540721
Household,CDIVMSAR,51=South Atlantic MSA/CMSA of 1 million+ with heavy rail,453,7412222.50867135
Household,CDIVMSAR,52=South Atlantic MSA/CMSA of 1 million+ w/o heavy rail,383,6222720.55297403
Household,CDIVMSAR,53=South Atlantic MSA of less than 1 million,681,11014145.4240815
Household,CDIVMSAR,54=South Atlantic Not in an MSA,65,1183864.22981719
Household,CDIVMSAR,62=East South Central MSA/CMSA of 1 million+ w/o heavy rail,147,2408597.82872358
Household,CDIVMSAR,63=East South Central MSA of less than 1 million,262,4504203.29526307
Household,CDIVMSAR,64=East South Central Not in an MSA,39,728983.974121286
Household,CDIVMSAR,72=West South Central MSA/CMSA of 1 million+ w/o heavy rail,508,8652288.12705937
Household,CDIVMSAR,73=West South Central MSA of less than 1 million,321,5622516.33622377
Household,CDIVMSAR,74=West South Central Not in an MSA,56,1024152.66167227
Household,CDIVMSAR,82=Mountain MSA/CMSA of 1 million+ w/o heavy rail,290,4790052.076031
Household,CDIVMSAR,83=Mountain MSA of less than 1 million,301,4427897.63775055
Household,CDIVMSAR,84=Mountain Not in an MSA,29,472885.648798016
Household,CDIVMSAR,91=Pacific MSA/CMSA of 1 million+ with heavy rail,400,7415804.84359144
Household,CDIVMSAR,92=Pacific MSA/CMSA of 1 million+ w/o heavy rail,398,6126638.16109982
Household,CDIVMSAR,93=Pacific MSA of less than 1 million,320,5141778.20349701
Household,CDIVMSAR,94=Pacific Not in an MSA,16,239305.920558666
Household,CENSUS_D,01=New England,439,6126762.64125097
Household,CENSUS_D,02=Middle Atlantic,924,16338824.7142905
Household,CENSUS_D,03=East North Central,1293,19030436.5069326
Household,CENSUS_D,04=West North Central,568,8660625.70759208
Household,CENSUS_D,05=South Atlantic,1582,25832952.7155441
Household,CENSUS_D,06=East South Central,448,7641785.09810794
Household,CENSUS_D,07=West South Central,885,15298957.1249554
Household,CENSUS_D,08=Mountain,620,9690835.36257956
Household,CENSUS_D,09=Pacific,1134,18923527.128747
Household,CENSUS_R,01=Northeast,1363,22465587.3555415
Household,CENSUS_R,02=Midwest,1861,27691062.2145247
Household,CENSUS_R,03=South,2915,48773694.9386074
Household,CENSUS_R,04=West,1754,28614362.4913265
Household,CNTTDHH,Responses=0-45,7893,127544707.0
Household,DRVRCNT,0,302,7099918.40718848
Household,DRVRCNT,1,2724,43858281.0473238
Household,DRVRCNT,2,4059,60010920.8980496
Household,DRVRCNT,3,592,12191086.088665
Household,DRVRCNT,4,180,3632458.79021622
Household,DRVRCNT,5,29,584967.113022582
Household,DRVRCNT,6,5,140241.757955268
Household,DRVRCNT,7,2,26832.8975790938
Household,FLAG100,01=All eligible household members completed,7784,125486651.544264
Household,FLAG100,02=75% to 99% of eligible household members completed,109,2058055.4557355
Household,HBHTNRNT,01=0-4%,476,6408769.68866195
Household,HBHTNRNT,05=5-14%,2009,29679267.3798075
Household,HBHTNRNT,20=15-24%,1603,24903349.3496827
Household,HBHTNRNT,30=25-34%,1160,18679644.4360107
Household,HBHTNRNT,40=35-44%,839,14932267.5328715
Household,HBHTNRNT,50=45-54%,638,10787820.6251276
Household,HBHTNRNT,60=55-64%,482,8919370.47432646
Household,HBHTNRNT,70=65-74%,339,6201539.37714035
Household,HBHTNRNT,80=75-84%,232,4466246.07578057
Household,HBHTNRNT,90=85-94%,101,2216207.02896621
Household,HBHTNRNT,95=95-100%,14,350225.031624495
Household,HBHUR,01=Rural,1553,24116021.6228579
Household,HBHUR,02=Small Town,1748,26778757.056252
Household,HBHUR,03=Second City,1514,25469405.0053254
Household,HBHUR,04=Suburban,1866,29898290.4159541
Household,HBHUR,05=Urban,1212,21282232.8996108
Household,HBPPOPDN,-9=Not ascertained,38,722449.90996476
Household,HBPPOPDN,01=0-99,919,13977712.2991198
Household,HBPPOPDN,02=100-499,1092,17011099.4216232
Household,HBPPOPDN,03=500-999,588,9248976.78460139
Household,HBPPOPDN,"04=1,000-1,999",990,15597274.5713402
Household,HBPPOPDN,"05=2,000-3,999",1612,25841633.3799922
Household,HBPPOPDN,"06=4,000-9,999",1849,30519565.8251979
Household,HBPPOPDN,"07=10,000-24,999",526,9233205.46245368
Household,HBPPOPDN,"08=25,000-999,999",279,5392789.34570693
Household,HBRESDN,-9=Not ascertained,62,833184.105985194
Household,HBRESDN,01=0-99,1522,23623256.8193338
Household,HBRESDN,02=100-499,1384,21297154.1679918
Household,HBRESDN,03=500-999,911,14311806.8137922
Household,HBRESDN,"04=1,000-1,999",1645,27430866.889087
Household,HBRESDN,"05=2,000-3,999",1452,23993133.4404979
Household,HBRESDN,"06=4,000-9,999",559,9478815.77418193
Household,HBRESDN,"07=10,000-24,999",212,3630050.36814555
Household,HBRESDN,"08=25,000-999,999",146,2946438.6209847
Household,HHFAMINC,-7=I prefer not to answer,93,1600742.72812411
Household,HHFAMINC,-8=I don't know,3,41548.8122342142
Household,HHFAMINC,"01=Less than $10,000",300,7385631.21369596
Household,HHFAMINC,"02=$10,000 to $14,999",242,5158270.63897854
Household,HHFAMINC,"03=$15,000 to $24,999",467,8616666.68506667
Household,HHFAMINC,"04=$25,000 to $34,999",552,9884379.5832018
Household,HHFAMINC,"05=$35,000 to $49,999",824,13569737.5593335
Household,HHFAMINC,"06=$50,000 to $74,999",1392,21252307.4995785
Household,HHFAMINC,"07=$75,000 to $99,999",1120,16651924.9716617
Household,HHFAMINC,"08=$100,000 to $124,999",890,12256706.3462585
Household,HHFAMINC,"09=$125,000 to $149,999",611,8490208.34639756
Household,HHFAMINC,"10=$150,000 to $199,999",593,9895359.5975804
Household,HHFAMINC,"11=$200,000 or more",806,12741223.0178887
Household,HHFAMINC_IMP,"01=Less than $10,000",301,7412232.89487837
Household,HHFAMINC_IMP,"02=$10,000 to $14,999",245,5190388.13247827
Household,HHFAMINC_IMP,"03=$15,000 to $24,999",470,8689824.52280537
Household,HHFAMINC_IMP,"04=$25,000 to $34,999",560,9988974.8115368
Household,HHFAMINC_IMP,"05=$35,000 to $49,999",831,13739585.6444155
Household,HHFAMINC_IMP,"06=$50,000 to $74,999",1415,21714429.8851345
Household,HHFAMINC_IMP,"07=$75,000 to $99,999",1132,16823250.7976763
Household,HHFAMINC_IMP,"08=$100,000 to $124,999",909,12591085.7867361
Household,HHFAMINC_IMP,"09=$125,000 to $149,999",617,8553170.86648721
Household,HHFAMINC_IMP,"10=$150,000 to $199,999",599,10026162.3391545
Household,HHFAMINC_IMP,"11=$200,000 or more",814,12815601.3186972
Household,HHRELATD,01=At least two persons in hh are related,5485,88955337.9555484
Household,HHRELATD,02=No related persons in hh,2408,38589369.0444515
Household,HHSIZE,1,2271,36408704.9713443
Household,HHSIZE,2,3339,44750885.6274505
Household,HHSIZE,3,967,19001129.4053198
Household,HHSIZE,4,786,15515882.3151773
Household,HHSIZE,5,343,7521882.49142153
Household,HHSIZE,6,123,2635515.19052985
Household,HHSIZE,7,37,1058082.43099063
Household,HHSIZE,8,19,506172.75582843
Household,HHSIZE,9,6,113514.233141861
Household,HHSIZE,10,2,32937.5787959488
Household,HHVEHCNT,0,476,10712489.2681484
