section,feature_group,subgroup,key,value,elements,comment,source
Primary features [ edit | edit source ],Aerialway,,aerialway,cable_car,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Aerialway,,aerialway,gondola,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Aerialway,,aerialway,mixed_lift,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Aerialway,,aerialway,chair_lift,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Aerialway,,aerialway,drag_lift,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Aerialway,,aerialway,t-bar,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Aerialway,,aerialway,j-bar,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Aerialway,,aerialway,platter,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Aerialway,,aerialway,rope_tow,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Aerialway,,aerialway,magic_carpet,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Aerialway,,aerialway,zip_line,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Aerialway,,aerialway,goods,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Aerialway,,aerialway,pylon,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Aerialway,,aerialway,station,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Aeroway,,aeroway,aerodrome,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Aeroway,,aeroway,aircraft_crossing,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Aeroway,,aeroway,apron,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Aeroway,,aeroway,gate,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Aeroway,,aeroway,hangar,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Aeroway,,aeroway,helipad,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Aeroway,,aeroway,heliport,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Aeroway,,aeroway,navigationaid,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Aeroway,,aeroway,runway,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Aeroway,,aeroway,spaceport,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Aeroway,,aeroway,taxiway,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Aeroway,,aeroway,terminal,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Aeroway,,aeroway,windsock,,(taglist; descriptions load from Taginfo in the wiki page),taglist
Primary features [ edit | edit source ],Amenity,Sustenance [ edit source ],amenity,bar,node area,"Bar is a purpose-built commercial establishment that sells alcoholic drinks to be consumed on the premises. They are characterised by a noisy and vibrant atmosphere, similar to a party and usually don't sell food. See also the description of the tags amenity = pub ; bar ; restaurant for a distinction between these.",wikitable
Primary features [ edit | edit source ],Amenity,Sustenance [ edit source ],amenity,biergarten,node area,"Biergarten or beer garden is an open-air area where alcoholic beverages along with food is prepared and served. See also the description of the tags amenity = pub ; bar ; restaurant . A biergarten can commonly be found attached to a beer hall, pub, bar, or restaurant. In this case, you can use biergarten = yes additional to amenity = pub ; bar ; restaurant .",wikitable
Primary features [ edit | edit source ],Amenity,Sustenance [ edit source ],amenity,cafe,node area,"Cafe is generally an informal place that offers casual meals and beverages; typically, the focus is on coffee or tea. Also known as a coffeehouse/shop , bistro or sidewalk cafe . The kind of food served may be mapped with the tags cuisine =* and diet:* =* . See also the tags amenity = restaurant ; bar ; fast_food .",wikitable
Primary features [ edit | edit source ],Amenity,Sustenance [ edit source ],amenity,fast_food,node area,Fast food restaurant (see also amenity = restaurant ). The kind of food served can be tagged with cuisine =* and diet:* =* .,wikitable
Primary features [ edit | edit source ],Amenity,Sustenance [ edit source ],amenity,food_court,node area,"An area with several different restaurant food counters and a shared eating area. Commonly found in malls, airports, etc.",wikitable
Primary features [ edit | edit source ],Amenity,Sustenance [ edit source ],amenity,ice_cream,node area,Ice cream shop or ice cream parlour. A place that sells ice cream and frozen yoghurt over the counter,wikitable
Primary features [ edit | edit source ],Amenity,Sustenance [ edit source ],amenity,pub,node area,A place selling beer and other alcoholic drinks; may also provide food or accommodation (UK). See description of amenity = bar and amenity = pub for distinction between bar and pub,wikitable
Primary features [ edit | edit source ],Amenity,Sustenance [ edit source ],amenity,restaurant,node area,"Restaurant (not fast food, see amenity = fast_food ). The kind of food served can be tagged with cuisine =* and diet:* =* .",wikitable
Primary features [ edit | edit source ],Amenity,Education [ edit source ],amenity,college,node area,Campus or buildings of an institute of Further Education (aka continuing education),wikitable
Primary features [ edit | edit source ],Amenity,Education [ edit source ],amenity,dancing_school,node area,A dancing school or dance studio,wikitable
Primary features [ edit | edit source ],Amenity,Education [ edit source ],amenity,driving_school,node area,Driving School which offers motor vehicle driving lessons,wikitable
Primary features [ edit | edit source ],Amenity,Education [ edit source ],amenity,first_aid_school,node area,A place where people can go for first aid courses.,wikitable
Primary features [ edit | edit source ],Amenity,Education [ edit source ],amenity,kindergarten,node area,"For children too young for a regular school (also known as preschool, playschool or nursery school), in some countries including afternoon supervision of primary school children.",wikitable
Primary features [ edit | edit source ],Amenity,Education [ edit source ],amenity,language_school,node area,Language School: an educational institution where one studies a foreign language.,wikitable
Primary features [ edit | edit source ],Amenity,Education [ edit source ],amenity,library,node area,"A public library (municipal, university, …) to borrow books from.",wikitable
Primary features [ edit | edit source ],Amenity,Education [ edit source ],amenity,surf_school,node area,A surf school is an establishment that teaches surfing.,wikitable
Primary features [ edit | edit source ],Amenity,Education [ edit source ],amenity,toy_library,node area,"A place to borrow games and toys, or play with them on site.",wikitable
Primary features [ edit | edit source ],Amenity,Education [ edit source ],amenity,research_institute,node area,An establishment endowed for doing research.,wikitable
Primary features [ edit | edit source ],Amenity,Education [ edit source ],amenity,training,node area,Public place where you can get training.,wikitable
Primary features [ edit | edit source ],Amenity,Education [ edit source ],amenity,music_school,node area,"A music school, an educational institution specialized in the study, training, and research of music.",wikitable
Primary features [ edit | edit source ],Amenity,Education [ edit source ],amenity,school,node area,"School and grounds - primary, middle and secondary schools",wikitable
Primary features [ edit | edit source ],Amenity,Education [ edit source ],amenity,traffic_park,node area,Juvenile traffic schools,wikitable
Primary features [ edit | edit source ],Amenity,Education [ edit source ],amenity,university,node area,A university campus: an institute of higher education,wikitable
Primary features [ edit | edit source ],Amenity,Transportation [ edit source ],amenity,bicycle_parking,node area,Parking for bicycles,wikitable
Primary features [ edit | edit source ],Amenity,Transportation [ edit source ],amenity,bicycle_repair_station,node area,"General tools for self-service bicycle repairs, usually on the roadside; no service...",wikitable
Primary features [ edit | edit source ],Amenity,Transportation [ edit source ],amenity,bicycle_rental,node area,Rent a bicycle,wikitable
Primary features [ edit | edit source ],Amenity,Transportation [ edit source ],amenity,bicycle_wash,node area,Clean a bicycle,wikitable
Primary features [ edit | edit source ],Amenity,Transportation [ edit source ],amenity,boat_rental,node area,Rent a Boat,wikitable
Primary features [ edit | edit source ],Amenity,Transportation [ edit source ],amenity,boat_storage,node area,A place to store boats out of the water.,wikitable
Primary features [ edit | edit source ],Amenity,Transportation [ edit source ],amenity,boat_sharing,node area,Share a Boat,wikitable
Primary features [ edit | edit source ],Amenity,Transportation [ edit source ],amenity,bus_station,node area,May also be tagged as public_transport = station .,wikitable
Primary features [ edit | edit source ],Amenity,Transportation [ edit source ],amenity,car_rental,node area,Rent a car,wikitable
Primary features [ edit | edit source ],Amenity,Transportation [ edit source ],amenity,car_sharing,node area,Share a car,wikitable
Primary features [ edit | edit source ],Amenity,Transportation [ edit source ],amenity,car_wash,node area,Wash a car,wikitable
Primary features [ edit | edit source ],Amenity,Transportation [ edit source ],amenity,compressed_air,node area,"A device to inflate tires/tyres (e.g. motorcar, bicycle)",wikitable
Primary features [ edit | edit source ],Amenity,Transportation [ edit source ],amenity,vehicle_inspection,node area,Government vehicle inspection,wikitable
Primary features [ edit | edit source ],Amenity,Transportation [ edit source ],amenity,charging_station,node,Charging facility for electric vehicles,wikitable
Primary features [ edit | edit source ],Amenity,Transportation [ edit source ],amenity,driver_training,node area,A place for driving training on a closed course,wikitable
Primary features [ edit | edit source ],Amenity,Transportation [ edit source ],amenity,ferry_terminal,node area,Ferry terminal/stop. A place where people/cars/etc. can board and leave a ferry.,wikitable
Primary features [ edit | edit source ],Amenity,Transportation [ edit source ],amenity,fuel,node area,Petrol station; gas station; marine fuel; … Streets to petrol stations are often tagged highway = service .,wikitable
Primary features [ edit | edit source ],Amenity,Transportation [ edit source ],amenity,grit_bin,node,A container that holds grit or a mixture of salt and grit.,wikitable
Primary features [ edit | edit source ],Amenity,Transportation [ edit source ],amenity,motorcycle_parking,node area,Parking for motorcycles,wikitable
Primary features [ edit | edit source ],Amenity,Transportation [ edit source ],amenity,parking,node area,Parking area for vehicles. Streets on car parking are often tagged highway = service and service = parking_aisle .,wikitable
Primary features [ edit | edit source ],Amenity,Transportation [ edit source ],amenity,parking_entrance,node,An entrance or exit to an underground or multi-storey parking facility. Group multiple parking entrances together with a relation using the tags type = site and site = parking,wikitable
Primary features [ edit | edit source ],Amenity,Transportation [ edit source ],amenity,parking_space,node area,A single parking space within a car park. Parking spaces should be mapped within an amenity = parking area. Group multiple parking spaces together with a relation using the tags type = site and site = parking,wikitable
Primary features [ edit | edit source ],Amenity,Transportation [ edit source ],amenity,taxi,node area,A place where taxis wait for passengers.,wikitable
Primary features [ edit | edit source ],Amenity,Transportation [ edit source ],amenity,weighbridge,node area,A large weight scale to weigh vehicles and goods,wikitable
Primary features [ edit | edit source ],Amenity,Financial [ edit source ],amenity,atm,node,Automated teller machine (ATM) or cashpoint: a device that provides the clients of a financial institution with access to financial transactions.,wikitable
Primary features [ edit | edit source ],Amenity,Financial [ edit source ],amenity,payment_terminal,node,Self-service payment kiosk/terminal,wikitable
Primary features [ edit | edit source ],Amenity,Financial [ edit source ],amenity,bank,node area,"Bank or credit union: a financial establishment where customers can deposit and withdraw money, take loans, make investments and transfer funds.",wikitable
Primary features [ edit | edit source ],Amenity,Financial [ edit source ],amenity,bureau_de_change,node area,"Bureau de change, money changer, currency exchange, Wechsel, cambio – a place to change foreign bank notes and travellers cheques.",wikitable
Primary features [ edit | edit source ],Amenity,Financial [ edit source ],amenity,money_transfer,node area,"A place that offers money transfers, especially cash to cash",wikitable
Primary features [ edit | edit source ],Amenity,Financial [ edit source ],amenity,payment_centre,node area,"A non-bank place, where people can pay bills of public and private services and taxes.",wikitable
Primary features [ edit | edit source ],Amenity,Healthcare [ edit source ],amenity,baby_hatch,node area,"A place where a baby can be, out of necessity, anonymously left to be safely cared for and perhaps adopted.",wikitable
Primary features [ edit | edit source ],Amenity,Healthcare [ edit source ],amenity,clinic,node area,A medium-sized medical facility or health centre.,wikitable
Primary features [ edit | edit source ],Amenity,Healthcare [ edit source ],amenity,dentist,node area,A dentist practice / surgery.,wikitable
Primary features [ edit | edit source ],Amenity,Healthcare [ edit source ],amenity,doctors,node area,A doctor's practice / surgery.,wikitable
Primary features [ edit | edit source ],Amenity,Healthcare [ edit source ],amenity,hospital,node area,A hospital providing in-patient medical treatment. Often used in conjunction with emergency =* to note whether the medical centre has emergency facilities (A&E (brit.) or ER (am.)),wikitable
Primary features [ edit | edit source ],Amenity,Healthcare [ edit source ],amenity,nursing_home,node area,Discouraged tag for a home for disabled or elderly persons who need permanent care. Use amenity = social_facility + social_facility = nursing_home now.,wikitable
Primary features [ edit | edit source ],Amenity,Healthcare [ edit source ],amenity,pharmacy,node area,Pharmacy: a shop where a pharmacist sells medications dispensing = yes/no - availability of prescription-only medications,wikitable
Primary features [ edit | edit source ],Amenity,Healthcare [ edit source ],amenity,social_facility,node area,"A facility that provides social services: group & nursing homes, workshops for the disabled, homeless shelters, etc.",wikitable
Primary features [ edit | edit source ],Amenity,Healthcare [ edit source ],amenity,veterinary,node area,"A place where a veterinary surgeon, also known as a veterinarian or vet, practices.",wikitable
Primary features [ edit | edit source ],Amenity,"Entertainment, Arts & Culture [ edit source ]",amenity,arts_centre,node area,A venue where a variety of arts are performed or conducted,wikitable
Primary features [ edit | edit source ],Amenity,"Entertainment, Arts & Culture [ edit source ]",amenity,brothel,node area,An establishment specifically dedicated to prostitution,wikitable
Primary features [ edit | edit source ],Amenity,"Entertainment, Arts & Culture [ edit source ]",amenity,casino,node area,"A gambling venue with at least one table game(e.g. roulette, blackjack) that takes bets on sporting and other events at agreed upon odds.",wikitable
Primary features [ edit | edit source ],Amenity,"Entertainment, Arts & Culture [ edit source ]",amenity,cinema,node area,A place where films are shown (US: movie theater),wikitable
Primary features [ edit | edit source ],Amenity,"Entertainment, Arts & Culture [ edit source ]",amenity,community_centre,node area,"A place mostly used for local events, festivities and group activities; including special interest and special age groups. .",wikitable
Primary features [ edit | edit source ],Amenity,"Entertainment, Arts & Culture [ edit source ]",amenity,conference_centre,node area,A large building that is used to hold a convention,wikitable
Primary features [ edit | edit source ],Amenity,"Entertainment, Arts & Culture [ edit source ]",amenity,events_venue,node area,A building specifically used for organising events,wikitable
Primary features [ edit | edit source ],Amenity,"Entertainment, Arts & Culture [ edit source ]",amenity,exhibition_centre,node area,An exhibition centre,wikitable
Primary features [ edit | edit source ],Amenity,"Entertainment, Arts & Culture [ edit source ]",amenity,fountain,node area,A fountain for cultural / decorational / recreational purposes.,wikitable
Primary features [ edit | edit source ],Amenity,"Entertainment, Arts & Culture [ edit source ]",amenity,gambling,node area,"A place for gambling, not being a shop = bookmaker , shop = lottery , amenity = casino , or leisure = adult_gaming_centre . Games that are covered by this definition include bingo and pachinko.",wikitable
Primary features [ edit | edit source ],Amenity,"Entertainment, Arts & Culture [ edit source ]",amenity,love_hotel,node area,A love hotel is a type of short-stay hotel operated primarily for the purpose of allowing guests privacy for sexual activities.,wikitable
Primary features [ edit | edit source ],Amenity,"Entertainment, Arts & Culture [ edit source ]",amenity,music_venue,node area,An indoor place to hear contemporary live music.,wikitable
Primary features [ edit | edit source ],Amenity,"Entertainment, Arts & Culture [ edit source ]",amenity,nightclub,node area,"A place to drink and dance (nightclub). The German word is ""Disco"" or ""Discothek"". Please don't confuse this with the German ""Nachtclub"" which is most likely amenity=stripclub .",wikitable
Primary features [ edit | edit source ],Amenity,"Entertainment, Arts & Culture [ edit source ]",amenity,planetarium,node area,A planetarium.,wikitable
Primary features [ edit | edit source ],Amenity,"Entertainment, Arts & Culture [ edit source ]",amenity,public_bookcase,node area,A street furniture containing books. Take one or leave one.,wikitable
Primary features [ edit | edit source ],Amenity,"Entertainment, Arts & Culture [ edit source ]",amenity,social_centre,node area,A place for free and not-for-profit activities.,wikitable
Primary features [ edit | edit source ],Amenity,"Entertainment, Arts & Culture [ edit source ]",amenity,stage,node area,A raised platform for performers.,wikitable
Primary features [ edit | edit source ],Amenity,"Entertainment, Arts & Culture [ edit source ]",amenity,stripclub,node,A place that offers striptease or lapdancing (for sexual services use amenity=brothel) .,wikitable
Primary features [ edit | edit source ],Amenity,"Entertainment, Arts & Culture [ edit source ]",amenity,studio,node area,TV radio or recording studio,wikitable
Primary features [ edit | edit source ],Amenity,"Entertainment, Arts & Culture [ edit source ]",amenity,swingerclub,node area,A club where people meet to have a party and group sex.,wikitable
Primary features [ edit | edit source ],Amenity,"Entertainment, Arts & Culture [ edit source ]",amenity,theatre,node area,"A theatre or opera house where live performances occur, such as plays, musicals and formal concerts. Use amenity = cinema for movie theaters.",wikitable
Primary features [ edit | edit source ],Amenity,Public Service [ edit source ],amenity,courthouse,node area,"A building home to a court of law, where justice is dispensed",wikitable
Primary features [ edit | edit source ],Amenity,Public Service [ edit source ],amenity,fire_station,node area,A station of a fire brigade,wikitable
